cell_id,perturbation,top_pct,n_neighbors,mean_similarity,baseline_pearson_r,baseline_l2,lsft_pearson_r,lsft_l2,delta_r,delta_l2
pert2_0,pert2,0.1,1,0.8025439655080177,0.5254603243705364,6.968255164053805,0.37865647192219004,9.015210578705137,-0.14680385244834632,2.0469554146513316
pert2_1,pert2,0.1,1,0.5562571104458746,0.2292750994014328,6.7362264417205555,0.11820874751987599,9.188026808564853,-0.11106635188155682,2.4518003668442976
pert2_2,pert2,0.1,1,0.5943827124240093,0.22842202578030663,6.981146133460152,0.03283933926775986,9.379113104931205,-0.19558268651254676,2.397966971471053
pert2_3,pert2,0.1,1,0.5103482207398375,0.4450582390550039,7.339983807847167,0.3349584442869015,8.988646301682301,-0.11009979476810239,1.6486624938351344
pert2_4,pert2,0.1,1,0.8396176922540529,0.23084308587111774,7.144039470167336,-0.05004863991183398,9.6288847027004,-0.28089172578295174,2.484845232533064
pert2_5,pert2,0.1,1,0.7635732289334719,0.48096407278199454,7.619973768112714,0.2877480357685802,9.464162794141528,-0.19321603701341433,1.8441890260288138
pert2_6,pert2,0.1,1,0.5022040909504473,0.11475728543475588,7.619113591353019,0.10310309171172596,9.468198205201984,-0.01165419372302992,1.8490846138489658
pert2_7,pert2,0.1,1,0.5256278223381683,0.38652250243724584,6.358382531952522,0.15888834774582145,8.905823515523087,-0.2276341546914244,2.5474409835705654
pert2_8,pert2,0.1,1,0.7169049459543417,0.47460362745476475,6.609002912110754,0.3996656820023481,7.743695614531587,-0.07493794545241667,1.1346927024208329
pert2_9,pert2,0.1,1,0.6801937731366915,0.45695501939993466,6.5568848753106455,0.26586868347333736,8.175596499050112,-0.1910863359265973,1.6187116237394665
